n_all,n_strata,RR_star_lower,RR_star_upper,response,n_triads_per_stratum,haplo_freq_most_common_allele_stratum_1,alpha,rr,RR_stratum_1,RR_stratum_2,RR_stratum_3,haplo_freq_most_common_allele_stratum_2,haplo_freq_most_common_allele_stratum_3,RR.power_Haplotype_2
2,3,1,1,mult,100,0.85,5e-10,1.3,1.3,1,0.7692307692307692,0.85,0.85,0
2,3,1,1,mult,100,0.9,5e-10,1.3,1.3,1,0.7692307692307692,0.9,0.9,0
2,3,1,1,mult,100,0.95,5e-10,1.3,1.3,1,0.7692307692307692,0.95,0.95,0
2,3,1,1,mult,100,0.6,0.05,1.6,1.6,1,0.625,0.6,0.6,0.83
2,3,1,1,mult,100,0.65,0.05,1.6,1.6,1,0.625,0.65,0.65,0.81
2,3,1,1,mult,100,0.7,0.05,1.6,1.6,1,0.625,0.7,0.7,0.77
2,3,1,1,mult,100,0.75,0.05,1.6,1.6,1,0.625,0.75,0.75,0.72
2,3,1,1,mult,100,0.8,0.05,1.6,1.6,1,0.625,0.8,0.8,0.65
2,3,1,1,mult,100,0.85,0.05,1.6,1.6,1,0.625,0.85,0.85,0.54
2,3,1,1,mult,100,0.9,0.05,1.6,1.6,1,0.625,0.9,0.9,0.4
2,3,1,1,mult,100,0.95,0.05,1.6,1.6,1,0.625,0.95,0.95,0.23
2,3,1,1,mult,100,0.6,5e-5,1.6,1.6,1,0.625,0.6,0.6,0.13
2,3,1,1,mult,100,0.65,5e-5,1.6,1.6,1,0.625,0.65,0.65,0.12
2,3,1,1,mult,100,0.7,5e-5,1.6,1.6,1,0.625,0.7,0.7,0.09
2,3,1,1,mult,100,0.75,5e-5,1.6,1.6,1,0.625,0.75,0.75,0.07
2,3,1,1,mult,100,0.8,5e-5,1.6,1.6,1,0.625,0.8,0.8,0.05
2,3,1,1,mult,100,0.85,5e-5,1.6,1.6,1,0.625,0.85,0.85,0.03
2,3,1,1,mult,100,0.9,5e-5,1.6,1.6,1,0.625,0.9,0.9,0.01
2,3,1,1,mult,100,0.95,5e-5,1.6,1.6,1,0.625,0.95,0.95,0
2,3,1,1,mult,100,0.6,5e-6,1.6,1.6,1,0.625,0.6,0.6,0.05
2,3,1,1,mult,100,0.65,5e-6,1.6,1.6,1,0.625,0.65,0.65,0.05
2,3,1,1,mult,100,0.7,5e-6,1.6,1.6,1,0.625,0.7,0.7,0.04
2,3,1,1,mult,100,0.75,5e-6,1.6,1.6,1,0.625,0.75,0.75,0.02
2,3,1,1,mult,100,0.8,5e-6,1.6,1.6,1,0.625,0.8,0.8,0.01
2,3,1,1,mult,100,0.85,5e-6,1.6,1.6,1,0.625,0.85,0.85,0.01
2,3,1,1,mult,100,0.9,5e-6,1.6,1.6,1,0.625,0.9,0.9,0
2,3,1,1,mult,100,0.95,5e-6,1.6,1.6,1,0.625,0.95,0.95,0
2,3,1,1,mult,100,0.6,5.000000000000001e-7,1.6,1.6,1,0.625,0.6,0.6,0.02
2,3,1,1,mult,100,0.65,5.000000000000001e-7,1.6,1.6,1,0.625,0.65,0.65,0.02
2,3,1,1,mult,100,0.7,5.000000000000001e-7,1.6,1.6,1,0.625,0.7,0.7,0.01
2,3,1,1,mult,100,0.75,5.000000000000001e-7,1.6,1.6,1,0.625,0.75,0.75,0.01
2,3,1,1,mult,100,0.8,5.000000000000001e-7,1.6,1.6,1,0.625,0.8,0.8,0
2,3,1,1,mult,100,0.85,5.000000000000001e-7,1.6,1.6,1,0.625,0.85,0.85,0
2,3,1,1,mult,100,0.9,5.000000000000001e-7,1.6,1.6,1,0.625,0.9,0.9,0
2,3,1,1,mult,100,0.95,5.000000000000001e-7,1.6,1.6,1,0.625,0.95,0.95,0
2,3,1,1,mult,100,0.6,5e-8,1.6,1.6,1,0.625,0.6,0.6,0.01
2,3,1,1,mult,100,0.65,5e-8,1.6,1.6,1,0.625,0.65,0.65,0.01
2,3,1,1,mult,100,0.7,5e-8,1.6,1.6,1,0.625,0.7,0.7,0
2,3,1,1,mult,100,0.75,5e-8,1.6,1.6,1,0.625,0.75,0.75,0
