n_all,n_strata,RR_star_lower,RR_star_upper,response,haplo_freq_most_common_allele_stratum_1,n_triads_per_stratum,alpha,rr,RR_stratum_1,RR_stratum_2,RR_stratum_3,haplo_freq_most_common_allele_stratum_2,haplo_freq_most_common_allele_stratum_3,RR.power_Haplotype_2
2,3,1,1,mult,0.8,116,5e-5,1,1,1,1,0.8,0.8,0
2,3,1,1,mult,0.85,116,5e-5,1,1,1,1,0.85,0.85,0
2,3,1,1,mult,0.9,116,5e-5,1,1,1,1,0.9,0.9,0
2,3,1,1,mult,0.95,116,5e-5,1,1,1,1,0.95,0.95,0
2,3,1,1,mult,0.7,133,5e-5,1,1,1,1,0.7,0.7,0
2,3,1,1,mult,0.8,133,5e-5,1,1,1,1,0.8,0.8,0
2,3,1,1,mult,0.85,133,5e-5,1,1,1,1,0.85,0.85,0
2,3,1,1,mult,0.9,133,5e-5,1,1,1,1,0.9,0.9,0
2,3,1,1,mult,0.95,133,5e-5,1,1,1,1,0.95,0.95,0
2,3,1,1,mult,0.7,150,5e-5,1,1,1,1,0.7,0.7,0
2,3,1,1,mult,0.8,150,5e-5,1,1,1,1,0.8,0.8,0
2,3,1,1,mult,0.85,150,5e-5,1,1,1,1,0.85,0.85,0
2,3,1,1,mult,0.9,150,5e-5,1,1,1,1,0.9,0.9,0
2,3,1,1,mult,0.95,150,5e-5,1,1,1,1,0.95,0.95,0
2,3,1,1,mult,0.7,166,5e-5,1,1,1,1,0.7,0.7,0
2,3,1,1,mult,0.8,166,5e-5,1,1,1,1,0.8,0.8,0
2,3,1,1,mult,0.85,166,5e-5,1,1,1,1,0.85,0.85,0
2,3,1,1,mult,0.9,166,5e-5,1,1,1,1,0.9,0.9,0
2,3,1,1,mult,0.95,166,5e-5,1,1,1,1,0.95,0.95,0
2,3,1,1,mult,0.7,183,5e-5,1,1,1,1,0.7,0.7,0
2,3,1,1,mult,0.8,183,5e-5,1,1,1,1,0.8,0.8,0
