n_all,n_strata,RR_star_lower,RR_star_upper,response,RR_stratum_1,RR_stratum_2,RR_stratum_3,haplo_freq_most_common_allele_stratum_1,alpha,n_triads_per_stratum,haplo_freq_most_common_allele_stratum_2,haplo_freq_most_common_allele_stratum_3,RR.power_Haplotype_2
2,3,1,1,mult,3,1,0.3333333333333333,0.6,5e-5,33,0.6,0.6,0.39
2,3,1,1,mult,3,1,0.3333333333333333,0.65,5e-5,33,0.65,0.65,0.35
2,3,1,1,mult,3,1,0.3333333333333333,0.7,5e-5,33,0.7,0.7,0.29
2,3,1,1,mult,3,1,0.3333333333333333,0.75,5e-5,33,0.75,0.75,0.22
2,3,1,1,mult,3,1,0.3333333333333333,0.8,5e-5,33,0.8,0.8,0.15
2,3,1,1,mult,3,1,0.3333333333333333,0.85,5e-5,33,0.85,0.85,0.08
2,3,1,1,mult,3,1,0.3333333333333333,0.9,5e-5,33,0.9,0.9,0.03
2,3,1,1,mult,3,1,0.3333333333333333,0.95,5e-5,33,0.95,0.95,0.01
2,3,1,1,mult,3,1,0.3333333333333333,0.6,5e-6,33,0.6,0.6,0.22
2,3,1,1,mult,3,1,0.3333333333333333,0.65,5e-6,33,0.65,0.65,0.19
2,3,1,1,mult,3,1,0.3333333333333333,0.7,5e-6,33,0.7,0.7,0.15
2,3,1,1,mult,3,1,0.3333333333333333,0.75,5e-6,33,0.75,0.75,0.1
2,3,1,1,mult,3,1,0.3333333333333333,0.8,5e-6,33,0.8,0.8,0.06
2,3,1,1,mult,3,1,0.3333333333333333,0.85,5e-6,33,0.85,0.85,0.03
2,3,1,1,mult,3,1,0.3333333333333333,0.9,5e-6,33,0.9,0.9,0.01
2,3,1,1,mult,3,1,0.3333333333333333,0.95,5e-6,33,0.95,0.95,0
2,3,1,1,mult,3,1,0.3333333333333333,0.6,5.000000000000001e-7,33,0.6,0.6,0.11
2,3,1,1,mult,3,1,0.3333333333333333,0.65,5.000000000000001e-7,33,0.65,0.65,0.09
2,3,1,1,mult,3,1,0.3333333333333333,0.7,5.000000000000001e-7,33,0.7,0.7,0.07
2,3,1,1,mult,3,1,0.3333333333333333,0.75,5.000000000000001e-7,33,0.75,0.75,0.04
2,3,1,1,mult,3,1,0.3333333333333333,0.8,5.000000000000001e-7,33,0.8,0.8,0.02
2,3,1,1,mult,3,1,0.3333333333333333,0.85,5.000000000000001e-7,33,0.85,0.85,0.01
2,3,1,1,mult,3,1,0.3333333333333333,0.9,5.000000000000001e-7,33,0.9,0.9,0
2,3,1,1,mult,3,1,0.3333333333333333,0.95,5.000000000000001e-7,33,0.95,0.95,0
2,3,1,1,mult,3,1,0.3333333333333333,0.6,5e-8,33,0.6,0.6,0.05
2,3,1,1,mult,3,1,0.3333333333333333,0.65,5e-8,33,0.65,0.65,0.04
2,3,1,1,mult,3,1,0.3333333333333333,0.7,5e-8,33,0.7,0.7,0.03
2,3,1,1,mult,3,1,0.3333333333333333,0.75,5e-8,33,0.75,0.75,0.02
2,3,1,1,mult,3,1,0.3333333333333333,0.8,5e-8,33,0.8,0.8,0.01
2,3,1,1,mult,3,1,0.3333333333333333,0.85,5e-8,33,0.85,0.85,0
2,3,1,1,mult,3,1,0.3333333333333333,0.9,5e-8,33,0.9,0.9,0
2,3,1,1,mult,3,1,0.3333333333333333,0.95,5e-8,33,0.95,0.95,0
2,3,1,1,mult,3,1,0.3333333333333333,0.6,5e-10,33,0.6,0.6,0.01
2,3,1,1,mult,3,1,0.3333333333333333,0.65,5e-10,33,0.65,0.65,0.01
2,3,1,1,mult,3,1,0.3333333333333333,0.7,5e-10,33,0.7,0.7,0
2,3,1,1,mult,3,1,0.3333333333333333,0.75,5e-10,33,0.75,0.75,0
2,3,1,1,mult,3,1,0.3333333333333333,0.8,5e-10,33,0.8,0.8,0
2,3,1,1,mult,3,1,0.3333333333333333,0.85,5e-10,33,0.85,0.85,0
2,3,1,1,mult,3,1,0.3333333333333333,0.9,5e-10,33,0.9,0.9,0
2,3,1,1,mult,3,1,0.3333333333333333,0.95,5e-10,33,0.95,0.95,0
2,3,1,1,mult,3,1,0.3333333333333333,0.6,0.05,50,0.6,0.6,1
2,3,1,1,mult,3,1,0.3333333333333333,0.65,0.05,50,0.65,0.65,0.99
2,3,1,1,mult,3,1,0.3333333333333333,0.7,0.05,50,0.7,0.7,0.99
2,3,1,1,mult,3,1,0.3333333333333333,0.75,0.05,50,0.75,0.75,0.98
2,3,1,1,mult,3,1,0.3333333333333333,0.8,0.05,50,0.8,0.8,0.96
2,3,1,1,mult,3,1,0.3333333333333333,0.85,0.05,50,0.85,0.85,0.91
2,3,1,1,mult,3,1,0.3333333333333333,0.9,0.05,50,0.9,0.9,0.78
2,3,1,1,mult,3,1,0.3333333333333333,0.95,0.05,50,0.95,0.95,0.49
2,3,1,1,mult,3,1,0.3333333333333333,0.6,5e-5,50,0.6,0.6,0.74
2,3,1,1,mult,3,1,0.3333333333333333,0.65,5e-5,50,0.65,0.65,0.69
2,3,1,1,mult,3,1,0.3333333333333333,0.7,5e-5,50,0.7,0.7,0.62
